Date,Open,High,Low,Close,Adj Close,Volume
2010-05-10,649.900024,675.000000,645.500000,662.400024,507.240021,188639
2010-05-11,669.849976,672.000000,640.000000,643.049988,492.422516,160750
2010-05-12,649.599976,659.900024,647.049988,653.950012,500.769318,104528
2010-05-13,670.000000,718.000000,664.000000,706.799988,541.239746,1401385
2010-05-14,701.099976,725.000000,680.000000,687.500000,526.460632,607941
2010-05-17,680.000000,708.700012,670.000000,702.150024,537.679077,277089
2010-05-18,703.000000,711.000000,695.250000,706.500000,541.010010,461525
2010-05-19,706.000000,726.799988,690.000000,719.150024,550.697021,307776
2010-05-20,723.000000,728.000000,702.099976,709.299988,543.154175,178018
2010-05-21,685.000000,708.000000,685.000000,695.549988,532.624878,79253
2010-05-24,695.000000,709.799988,679.000000,684.349976,524.048523,76930
2010-05-25,689.950012,689.950012,656.549988,660.000000,505.402161,48660
2010-05-26,667.000000,690.799988,665.000000,683.500000,523.397522,74727
2010-05-27,674.400024,690.500000,674.400024,682.599976,522.708374,29473
2010-05-28,685.500000,695.000000,673.299988,675.200012,517.041748,45144
2010-05-31,680.200012,684.400024,670.099976,674.750000,516.697205,40256
2010-06-01,676.000000,682.000000,653.250000,657.000000,503.104889,75326
2010-06-02,666.000000,678.000000,655.000000,664.750000,509.039490,46823
2010-06-03,669.000000,678.000000,668.000000,675.650024,517.386353,111037
2010-06-04,673.000000,677.000000,665.000000,666.950012,510.724213,21846
2010-06-07,658.950012,684.000000,650.000000,676.299988,517.884094,45236
2010-06-08,679.000000,699.849976,675.000000,694.200012,531.591125,136983
2010-06-09,698.700012,748.299988,698.000000,731.000000,559.771118,671181
2010-06-10,730.000000,744.000000,706.000000,712.349976,545.489624,235048
2010-06-11,722.400024,722.400024,703.200012,705.049988,539.899719,55091
2010-06-14,708.500000,720.950012,708.500000,713.299988,546.217285,47531
2010-06-15,715.900024,718.500000,711.200012,713.900024,546.676697,19561
2010-06-16,717.000000,734.900024,706.150024,724.400024,554.717163,551580
2010-06-17,723.799988,725.000000,712.099976,714.299988,546.983032,114532
2010-06-18,708.750000,708.750000,680.000000,691.849976,529.791687,126352
2010-06-21,705.000000,715.000000,697.150024,698.849976,535.151978,45261
2010-06-22,702.000000,710.000000,693.849976,703.299988,538.559631,23732
2010-06-23,703.000000,708.799988,698.000000,700.000000,536.032654,40418
2010-06-24,680.000000,707.000000,680.000000,700.349976,536.300659,43721
2010-06-25,698.299988,705.000000,698.250000,700.200012,536.185852,55468
2010-06-28,709.000000,709.000000,698.849976,703.500000,538.712769,69583
2010-06-29,701.349976,723.799988,700.000000,708.250000,542.350159,220057
2010-06-30,702.000000,710.000000,700.000000,701.299988,537.028015,182414
2010-07-01,703.000000,719.000000,700.000000,707.500000,541.775757,113408
2010-07-02,712.799988,715.049988,707.200012,709.150024,543.039307,44538
2010-07-05,710.049988,723.000000,709.750000,715.700012,548.055115,60473
2010-07-06,719.799988,748.000000,710.000000,744.150024,569.840942,290934
2010-07-07,744.799988,751.799988,736.000000,738.650024,565.629272,179105
2010-07-08,724.400024,724.400024,700.049988,701.400024,559.842468,111968
2010-07-09,701.000000,712.000000,696.099976,699.849976,558.605225,69495
2010-07-12,702.150024,702.150024,666.200012,679.400024,542.282471,69349
2010-07-13,676.000000,681.099976,675.099976,676.549988,540.007751,75211
2010-07-14,675.500000,700.000000,667.349976,680.049988,542.801392,188009
2010-07-15,682.000000,696.599976,670.000000,684.900024,546.672485,94960
2010-07-16,684.000000,695.900024,680.099976,687.650024,548.867554,41982
2010-07-19,685.099976,694.900024,681.000000,686.650024,548.069397,21614
2010-07-20,684.000000,693.450012,684.000000,685.750000,547.350952,34372
2010-07-21,686.000000,714.750000,686.000000,711.349976,567.784363,272966
2010-07-22,718.400024,724.400024,675.500000,697.000000,556.330444,795783
2010-07-23,698.000000,699.000000,674.000000,675.299988,539.010071,128918
2010-07-26,684.000000,687.099976,673.500000,683.900024,545.874329,40010
2010-07-27,681.900024,701.549988,681.049988,697.349976,556.609802,80565
2010-07-28,700.000000,724.299988,691.349976,717.450012,572.653259,362137
2010-07-29,719.000000,723.900024,705.250000,715.150024,570.817444,94188
2010-07-30,716.099976,729.799988,711.349976,724.500000,578.280334,184370
2010-08-02,724.500000,731.849976,718.000000,727.849976,580.954285,87406
2010-08-03,729.250000,732.000000,722.099976,726.000000,579.477600,32378
2010-08-04,729.700012,729.700012,711.000000,716.599976,571.974792,27967
2010-08-05,717.000000,730.000000,715.000000,723.700012,577.641907,172546
2010-08-06,728.700012,729.900024,720.000000,722.049988,576.324768,35566
2010-08-09,722.049988,732.799988,717.049988,729.000000,581.872131,57018
2010-08-10,729.000000,734.950012,715.000000,717.700012,572.852783,21380
2010-08-11,721.700012,749.700012,712.000000,736.099976,587.539246,131017
2010-08-12,730.000000,764.900024,720.250000,740.799988,591.290710,544342
2010-08-13,748.000000,760.000000,744.700012,748.349976,597.316956,92693
2010-08-16,754.700012,759.650024,740.000000,743.099976,593.126465,54506
2010-08-17,749.700012,749.700012,720.500000,726.450012,579.836792,57712
2010-08-18,730.150024,747.849976,730.150024,739.849976,590.532410,26087
2010-08-19,749.900024,762.750000,740.099976,755.099976,602.704529,156514
2010-08-20,759.049988,769.000000,755.000000,762.200012,608.371704,85314
2010-08-23,765.000000,770.000000,762.000000,766.750000,612.003418,54159
2010-08-24,765.000000,766.349976,750.200012,752.849976,600.908691,22309
2010-08-25,751.250000,759.000000,749.000000,752.250000,600.429932,43214
2010-08-26,752.000000,775.000000,746.000000,769.599976,614.278320,127265
2010-08-27,765.000000,765.000000,737.000000,740.700012,591.210938,60995
2010-08-30,754.400024,754.400024,731.000000,732.849976,584.945190,18755
2010-08-31,730.000000,750.000000,725.000000,746.150024,595.560974,31996
2010-09-01,752.000000,756.950012,741.250000,745.799988,595.281616,26558
2010-09-02,753.900024,764.000000,750.049988,759.900024,606.535889,63022
2010-09-03,770.000000,799.000000,756.200012,777.299988,620.424255,188855
2010-09-06,779.000000,869.700012,779.000000,823.650024,657.419861,572849
2010-09-07,828.900024,834.750000,807.299988,819.349976,653.987549,113651
2010-09-08,821.000000,862.799988,820.000000,854.150024,681.764282,291580
2010-09-09,858.000000,875.049988,851.200012,863.750000,689.426758,195617
2010-09-13,872.900024,899.750000,849.750000,882.200012,704.153198,337443
2010-09-14,887.900024,887.900024,866.000000,874.299988,697.847534,58684
2010-09-15,875.000000,875.000000,857.049988,867.299988,692.260254,65029
2010-09-16,873.000000,873.000000,852.000000,856.250000,683.440369,55468
2010-09-17,860.000000,898.000000,860.000000,871.549988,695.652527,370870
2010-09-20,868.049988,880.000000,865.000000,870.849976,695.093811,104171
